time,lat,lon,freq_index,peak_val,noise_mean
20260805_130458,43.13772,-70.930875,0,3,1
20260805_130458,43.13772,-70.930875,1,1,1
20260805_130459,43.13772,-70.930875,2,2,1
20260805_130459,43.13772,-70.930875,3,3,1
20260805_130500,43.137719,-70.930875,4,2,0
20260805_130500,43.137719,-70.930875,5,2,1
20260805_130501,43.137719,-70.930875,6,4,1
20260805_130501,43.137719,-70.930875,7,6,3
20260805_130502,43.137719,-70.930875,8,3,1
20260805_130502,43.137719,-70.930875,9,3,1
20260805_130503,43.137719,-70.930875,10,2,1
20260805_130503,43.137719,-70.930875,11,2,1
20260805_130504,43.137719,-70.930876,12,2,1
20260805_130504,43.137719,-70.930876,13,2,1
20260805_130505,43.137719,-70.930876,14,2,1
20260805_130505,43.137719,-70.930876,15,3,1
20260805_130506,43.137719,-70.930876,16,2,1
20260805_130506,43.137719,-70.930876,17,2,1
20260805_130507,43.137719,-70.930876,18,3,1
20260805_130507,43.137719,-70.930876,19,3,1
20260805_130508,43.137719,-70.930876,20,2,1
20260805_130508,43.137719,-70.930876,0,3,1
20260805_130509,43.137719,-70.930876,1,3,1
20260805_130509,43.137719,-70.930876,2,2,1
20260805_130510,43.137719,-70.930876,3,4,2
20260805_130510,43.137719,-70.930876,4,3,1
20260805_130511,43.137718,-70.930876,5,3,1
20260805_130511,43.137718,-70.930876,6,5,2
20260805_130512,43.137718,-70.930876,7,6,3
20260805_130512,43.137718,-70.930876,8,3,1
20260805_130513,43.137718,-70.930876,9,3,2
20260805_130513,43.137718,-70.930876,10,2,1
20260805_130514,43.137718,-70.930876,11,2,1
20260805_130514,43.137718,-70.930876,12,3,1
20260805_130515,43.137718,-70.930877,13,3,1
20260805_130515,43.137718,-70.930877,14,2,1
20260805_130516,43.137718,-70.930877,15,3,1
20260805_130516,43.137718,-70.930877,16,3,1
20260805_130517,43.137718,-70.930877,17,2,1
20260805_130518,43.137718,-70.930877,18,3,1
20260805_130518,43.137718,-70.930877,19,3,1
20260805_130519,43.137718,-70.930877,20,3,2
20260805_130519,43.137718,-70.930877,0,3,1
20260805_130520,43.137718,-70.930877,1,3,2
20260805_130520,43.137718,-70.930877,2,3,1
20260805_130521,43.137718,-70.930877,3,4,1
20260805_130521,43.137718,-70.930877,4,3,1
20260805_130522,43.137718,-70.930877,5,3,1
20260805_130522,43.137718,-70.930877,6,5,2
20260805_130523,43.137718,-70.930877,7,6,3
20260805_130523,43.137718,-70.930877,8,3,1
20260805_130524,43.137718,-70.930877,9,3,1
20260805_130524,43.137718,-70.930877,10,2,1
20260805_130525,43.137718,-70.930877,11,3,1
20260805_130525,43.137718,-70.930877,12,2,1
20260805_130526,43.137718,-70.930877,13,3,1
20260805_130526,43.137718,-70.930877,14,3,1
20260805_130527,43.137718,-70.930877,15,3,2
20260805_130527,43.137717,-70.930877,16,3,2
20260805_130528,43.137717,-70.930877,17,3,1
20260805_130528,43.137717,-70.930877,18,3,1
20260805_130529,43.137717,-70.930877,19,4,1
20260805_130529,43.137717,-70.930877,20,2,1
20260805_130530,43.137717,-70.930877,0,3,1
20260805_130530,43.137717,-70.930877,1,2,1
20260805_130531,43.137717,-70.930877,2,2,1
20260805_130531,43.137717,-70.930877,3,4,1
20260805_130532,43.137717,-70.930877,4,3,1
20260805_130532,43.137717,-70.930877,5,3,1
20260805_130533,43.137717,-70.930877,6,5,1
20260805_130533,43.137717,-70.930877,7,6,3
20260805_130534,43.137717,-70.930877,8,3,1
20260805_130534,43.137716,-70.930877,9,3,1
20260805_130535,43.137716,-70.930877,10,2,1
20260805_130535,43.137716,-70.930877,11,2,1
20260805_130536,43.137716,-70.930877,12,3,1
20260805_130536,43.137716,-70.930877,13,2,1
20260805_130537,43.137716,-70.930877,14,2,1
20260805_130537,43.137716,-70.930877,15,3,1
20260805_130538,43.137716,-70.930877,16,2,1
20260805_130538,43.137716,-70.930877,17,2,1
20260805_130539,43.137716,-70.930877,18,2,1
20260805_130539,43.137715,-70.930877,19,3,1
20260805_130540,43.137715,-70.930877,20,2,1
20260805_130540,43.137715,-70.930877,0,2,1
20260805_130541,43.137715,-70.930877,1,1,0
20260805_130541,43.137715,-70.930877,2,2,0
20260805_130542,43.137715,-70.930877,3,3,1
20260805_130542,43.137715,-70.930877,4,2,1
20260805_130543,43.137715,-70.930876,5,2,1
20260805_130543,43.137715,-70.930876,6,4,1
20260805_130544,43.137715,-70.930876,7,6,2
20260805_130544,43.137715,-70.930876,8,3,1
20260805_130545,43.137715,-70.930876,9,2,1
20260805_130545,43.137715,-70.930876,10,1,0
20260805_130546,43.137714,-70.930876,11,2,1
20260805_130546,43.137714,-70.930876,12,2,1
20260805_130547,43.137714,-70.930876,13,2,1
20260805_130547,43.137714,-70.930876,14,2,1
20260805_130548,43.137714,-70.930876,15,2,1
20260805_130548,43.137714,-70.930876,16,1,0
20260805_130549,43.137714,-70.930876,17,1,0
20260805_130549,43.137714,-70.930876,18,2,1
20260805_130550,43.137714,-70.930875,19,3,1
20260805_130550,43.137714,-70.930875,20,2,1
