snr,wifi_db,exp_phase_shift,exp_doppler_shift,found_phase_shift,found_doppler_shift
-50,-100,6724,-215,9996,-1000
-50,-100,3890,-565,8420,-500
-50,-100,6795,-463,3795,-800
-50,-100,7216,625,16,-900
-50,-100,6138,1,9020,-300
-50,-100,3002,-605,6788,900
-50,-100,7360,663,8023,400
-50,-100,9348,-490,9346,-1000
-50,-100,9902,-854,9059,-800
-50,-100,1058,-746,6977,-600
-50,-100,8571,-350,7406,-200
-50,-100,7447,345,8167,-200
-50,-100,6341,378,4396,200
-50,-100,6027,-664,8176,700
-50,-100,9201,-101,2202,-200
-50,-100,4077,-959,9905,100
-50,-100,4289,966,1055,900
-50,-100,8714,46,5271,-300
-50,-100,9150,-705,6185,600
-50,-100,9685,576,4312,-500
-50,-100,7570,-951,7133,-400
-50,-100,1954,-10,620,700
-50,-100,9629,896,3964,-500
-50,-100,1322,686,4092,200
-50,-100,793,-221,9425,-500
-50,-100,2924,747,54,-800
-50,-100,8797,821,6442,-200
-50,-100,8061,231,7047,-800
-50,-100,4523,-915,6748,0
-50,-100,5028,635,6689,-600
-50,-100,6584,-623,7191,600
-50,-100,6597,-479,8587,200
-50,-100,7005,-987,158,-200
-50,-100,9198,-448,5268,700
-50,-100,3827,638,6080,900
-50,-100,7052,-256,8201,900
-50,-100,7941,-127,8999,400
-50,-100,4679,889,8592,-500
-50,-100,5637,-620,7411,100
-50,-100,4383,-501,4827,-100
-50,-100,78,600,1476,700
-50,-100,6498,302,9389,500
-50,-100,3200,9,1359,-900
-50,-100,401,-626,9906,300
-50,-100,8981,-32,3108,900
-50,-100,3509,-17,5609,-200
-50,-100,1291,-277,5999,0
-50,-100,8946,640,180,0
-50,-100,2133,874,4630,-500
-50,-100,3757,-627,2517,-500
-50,-100,4458,400,2799,900
-50,-100,9814,-503,2965,300
-50,-100,3500,-471,4019,-600
-50,-100,7373,-201,4521,-200
-50,-100,7223,-754,9405,800
-50,-100,6920,854,5748,800
-50,-100,1081,424,9402,-400
-50,-100,3355,721,6899,500
-50,-100,783,-30,331,500
-50,-100,8896,52,3218,-700
-50,-100,7484,905,2464,-300
-50,-100,6519,490,9583,700
-50,-100,1218,993,5950,-900
-50,-100,3222,674,4233,100
-50,-100,2467,403,5025,700
-50,-100,8751,610,5269,100
-50,-100,6991,-998,7383,500
-50,-100,8040,-411,3023,300
-50,-100,9294,-376,777,500
-50,-100,8404,-684,2206,900
-50,-100,2865,-487,7588,-100
-50,-100,3612,148,3184,-100
-50,-100,6646,-755,5136,-100
-50,-100,412,643,7083,300
-50,-100,3372,538,5326,-900
-50,-100,6469,51,4925,400
-50,-100,1758,-893,2020,-400
-50,-100,6967,-786,2870,600
-50,-100,7703,-438,9815,-300
-50,-100,3656,-582,1623,400
-50,-100,33,562,2253,-1000
-50,-100,5785,-266,2818,-700
-50,-100,8514,-983,26,400
-50,-100,7969,836,2997,200
-50,-100,24,575,1693,900
-50,-100,6754,90,6927,-1000
-50,-100,2572,-718,5572,0
-50,-100,9372,715,8966,400
-50,-100,2718,665,4140,-400
-50,-100,52,221,9394,100
-50,-100,2911,378,2412,800
-50,-100,4188,409,8248,-400
-50,-100,3707,358,5069,800
-50,-100,427,217,2765,-900
-50,-100,2796,905,7652,-900
-50,-100,2600,-305,5639,900
-50,-100,6357,-303,1555,-800
-50,-100,2569,-669,7032,-400
-50,-100,6751,752,2360,-100
-50,-100,9133,420,3968,700
-50,-90,6037,101,639,300
-50,-90,4490,101,5910,900
-50,-90,8544,666,1470,0
-50,-90,880,-612,2071,-1000
-50,-90,9686,-142,8408,-1000
-50,-90,4640,-297,196,-500
-50,-90,3358,588,9434,900
-50,-90,3044,618,2443,0
-50,-90,4341,647,6493,900
-50,-90,285,-783,9667,-900
-50,-90,3863,843,6319,-1000
-50,-90,5667,-424,5034,-600
-50,-90,4500,-74,1110,-300
-50,-90,2754,-937,4505,500
-50,-90,70,-770,9904,-500
-50,-90,2973,-913,7501,-200
-50,-90,8436,-945,1188,-100
-50,-90,790,975,851,-700
-50,-90,811,265,6761,-1000
-50,-90,3687,-887,6879,-100
-50,-90,1362,737,9034,200
-50,-90,2938,-149,4456,-200
-50,-90,7960,-121,6558,-1000
-50,-90,3247,772,1831,900
-50,-90,5027,326,1396,-900
-50,-90,511,-794,5401,800
-50,-90,3075,-436,9068,600
-50,-90,7641,-894,8408,-800
-50,-90,8311,-654,5583,400
-50,-90,6496,645,820,400
-50,-90,6945,-684,1709,-200
-50,-90,5808,-800,3764,-1000
-50,-90,5164,677,388,0
-50,-90,7547,-596,9870,500
-50,-90,4767,886,5681,700
-50,-90,3322,743,4311,700
-50,-90,8512,817,7747,200
-50,-90,1798,-820,7388,0
-50,-90,9243,704,3599,-800
-50,-90,1764,482,1340,400
-50,-90,1483,196,1272,-1000
-50,-90,6167,-637,5067,200
-50,-90,2777,-539,5509,900
-50,-90,3107,184,9588,-1000
-50,-90,4967,64,2954,300
-50,-90,9956,-465,9899,100
-50,-90,8815,-899,1140,900
-50,-90,6281,-760,4693,-400
-50,-90,3844,-178,8238,600
-50,-90,8159,787,7667,800
-50,-90,9395,-936,8059,300
-50,-90,2522,689,3662,-400
-50,-90,1956,303,4316,-500
-50,-90,8946,487,777,-700
-50,-90,9199,-512,4054,900
-50,-90,6996,-268,7809,0
-50,-90,7357,670,1215,800
-50,-90,7611,-475,6955,800
-50,-90,6507,-886,707,800
-50,-90,1808,-560,7835,-500
-50,-90,9724,-479,5279,-800
-50,-90,5209,637,6787,200
-50,-90,175,-410,2972,-500
-50,-90,2976,494,44,300
-50,-90,3344,739,509,400
-50,-90,1653,-282,459,300
-50,-90,6951,186,358,-1000
-50,-90,5045,-669,4368,-1000
-50,-90,3511,142,5225,300
-50,-90,1175,-284,8991,-100
-50,-90,6754,103,5607,700
-50,-90,2554,399,6067,-500
-50,-90,7577,-460,6915,300
-50,-90,6531,-851,2349,-900
-50,-90,4432,-560,3259,-100
-50,-90,6937,-541,4453,400
-50,-90,9615,-910,1029,-1000
-50,-90,7486,-756,7897,400
-50,-90,9514,-504,8154,-800
-50,-90,5298,-254,1975,-700
-50,-90,4032,-471,9958,-1000
-50,-90,165,-394,1346,600
-50,-90,9139,-929,766,-200
-50,-90,1517,-533,9745,-700
-50,-90,9389,572,5310,900
-50,-90,3085,950,2560,-700
-50,-90,5847,56,7395,600
-50,-90,6851,-933,1845,900
-50,-90,6928,-75,5796,200
-50,-90,2239,-368,6376,200
-50,-90,892,-703,3240,900
-50,-90,2594,-227,5672,-600
-50,-90,9923,387,1074,700
-50,-90,6558,864,9411,500
-50,-90,437,-101,4501,600
-50,-90,6401,184,1700,-900
-50,-90,309,-792,9882,-400
-50,-90,8981,-753,5827,-800
-50,-90,5354,205,7247,100
-50,-90,1755,-21,6585,-900
-50,-80,2262,801,1315,800
-50,-80,7254,-796,9667,900
-50,-80,7170,728,6619,-300
-50,-80,5567,963,4718,300
-50,-80,1039,591,6392,900
-50,-80,4294,370,7664,600
-50,-80,1531,-163,1141,-200
-50,-80,792,-175,8592,800
-50,-80,4699,-345,9598,-1000
-50,-80,6330,847,10000,0
-50,-80,8821,-267,6911,-900
-50,-80,2472,-1000,6317,-500
-50,-80,4947,-336,9820,800
-50,-80,6721,-164,5376,200
-50,-80,7038,457,6782,0
-50,-80,1391,-377,5720,-900
-50,-80,3339,-106,2938,100
-50,-80,4188,235,3089,-200
-50,-80,7086,-922,8425,-700
-50,-80,6791,748,4998,900
-50,-80,9945,630,6883,-600
-50,-80,7557,73,4522,800
-50,-80,9121,537,1156,100
-50,-80,7484,-949,2121,300
-50,-80,5471,242,6637,-700
-50,-80,1355,-915,8633,400
-50,-80,9425,792,9314,900
-50,-80,4718,-578,2919,800
-50,-80,2294,725,4503,200
-50,-80,4209,-962,4618,-300
-50,-80,9851,-163,979,-1000
-50,-80,1117,576,9217,0
-50,-80,1368,-387,4161,100
-50,-80,7574,-400,9766,-900
-50,-80,1771,-177,2466,200
-50,-80,5203,125,367,500
-50,-80,8338,-506,8079,-1000
-50,-80,7151,-178,6076,900
-50,-80,1173,614,814,500
-50,-80,3608,581,2779,-600
-50,-80,4116,460,189,800
-50,-80,3577,979,4223,400
-50,-80,3907,293,7847,800
-50,-80,6400,325,3955,-900
-50,-80,212,978,3676,700
-50,-80,7386,709,7699,900
-50,-80,2965,-963,1160,500
-50,-80,6199,871,5518,-300
-50,-80,9515,58,312,700
-50,-80,2636,-170,5175,-600
-50,-80,5138,764,5940,600
-50,-80,2145,653,7977,600
-50,-80,3273,-290,7968,-400
-50,-80,4683,-635,6612,100
-50,-80,8804,336,6638,-800
-50,-80,1282,45,1786,-900
-50,-80,4292,730,7424,600
-50,-80,9483,-673,5166,-200
-50,-80,277,123,4097,-600
-50,-80,2092,-240,6119,900
-50,-80,4516,126,3580,-600
-50,-80,334,-831,8486,-800
-50,-80,3752,34,9667,-300
-50,-80,9490,370,2501,-900
-50,-80,9991,55,4577,-400
-50,-80,3177,123,1011,300
-50,-80,6093,330,3799,900
-50,-80,6135,-616,6738,100
-50,-80,9202,-168,5909,900
-50,-80,494,-678,16,100
-50,-80,7395,793,3932,-200
-50,-80,5705,-645,1560,-1000
-50,-80,2052,-291,5408,700
-50,-80,5553,-582,9380,0
-50,-80,1195,-141,2457,900
-50,-80,8851,477,9956,-700
-50,-80,1458,-116,2144,-100
-50,-80,6490,569,3639,800
-50,-80,9155,-844,7446,100
-50,-80,2820,826,2263,300
-50,-80,3078,883,1967,-700
-50,-80,9521,-990,3590,900
-50,-80,3528,24,8224,500
-50,-80,8467,-466,5406,-700
-50,-80,7379,-735,7929,-300
-50,-80,911,-825,2812,400
-50,-80,1268,777,7715,-900
-50,-80,100,426,9025,700
-50,-80,2112,67,6065,-700
-50,-80,3961,874,6250,-400
-50,-80,7262,854,8177,700
-50,-80,8147,-189,9041,-900
-50,-80,2417,-281,7724,-900
-50,-80,4716,-983,5541,-500
-50,-80,2309,-315,9138,100
-50,-80,8570,331,453,100
-50,-80,3311,-260,5963,700
-50,-80,7618,592,9929,-300
-50,-80,2810,976,5327,200
-50,-80,4088,-655,4031,800
-50,-70,7875,555,426,700
-50,-70,4969,-221,3579,900
-50,-70,7783,233,1071,400
-50,-70,478,-204,3294,100
-50,-70,1762,976,6416,-300
-50,-70,8259,-967,3001,-600
-50,-70,8917,-947,6215,0
-50,-70,1327,-312,6323,-200
-50,-70,2599,-372,3884,200
-50,-70,9616,114,8499,-500
-50,-70,9437,27,3206,300
-50,-70,2718,80,359,-500
-50,-70,7599,256,4640,-200
-50,-70,2378,4,3359,600
-50,-70,9456,-754,2520,100
-50,-70,4888,-27,9532,-300
-50,-70,8454,-515,9986,500
-50,-70,1794,-304,3954,100
-50,-70,4456,176,4561,800
-50,-70,9999,-205,5143,200
-50,-70,1129,94,3997,-200
-50,-70,313,96,3497,800
-50,-70,3998,703,5498,500
-50,-70,1188,-919,4629,400
-50,-70,4546,576,2415,-400
-50,-70,7925,-996,9322,400
-50,-70,1646,48,2730,-300
-50,-70,1315,-18,3023,-400
-50,-70,146,197,5021,-700
-50,-70,2823,34,1960,200
-50,-70,6711,256,5386,-100
-50,-70,1261,800,8236,-1000
-50,-70,2720,-339,2823,900
-50,-70,4080,-174,8230,-900
-50,-70,21,-256,2837,800
-50,-70,5156,479,3960,-900
-50,-70,220,409,3616,900
-50,-70,9128,29,8363,300
-50,-70,6310,-817,6232,-1000
-50,-70,6107,984,1671,-600
-50,-70,5739,-867,5918,-100
-50,-70,7144,-277,7495,-300
-50,-70,9124,159,6334,600
-50,-70,9038,-134,262,800
-50,-70,285,-347,761,0
-50,-70,2799,410,9119,-600
-50,-70,1431,-711,9016,-700
-50,-70,7928,-984,4241,-700
-50,-70,1490,-849,3984,-200
-50,-70,177,-899,2456,400
-50,-70,8767,509,235,-900
-50,-70,9790,643,7839,-500
-50,-70,882,-548,8456,600
-50,-70,4684,-393,8201,700
-50,-70,1107,-187,1576,-1000
-50,-70,7844,192,5530,200
-50,-70,2888,90,1952,-400
