snr,wifi_db,exp_phase_shift,exp_doppler_shift,found_phase_shift,found_doppler_shift
-50,-100,3871,-160,4997,-3250
-50,-100,9829,750,1151,-2800
-50,-100,3444,-478,3638,4950
-50,-100,5188,-112,4764,-2200
-50,-100,2796,592,1803,-4650
-50,-100,3540,361,4020,2150
-50,-100,6829,-605,6578,-1700
-50,-100,7715,-692,5287,-2150
-50,-100,2935,-298,9603,750
-50,-100,7163,-347,595,-5000
-50,-100,5945,766,3810,2150
-50,-100,460,294,922,2150
-50,-100,879,-231,8032,-500
-50,-100,2993,-662,4649,3450
-50,-100,1271,-187,2309,3500
-50,-100,4423,-225,7430,-1500
-50,-100,8334,730,9462,2550
-50,-100,9442,-611,4502,-3250
-50,-100,1980,860,5280,-3950
-50,-100,1949,879,96,-1850
-50,-95,135,-402,2601,4050
-50,-95,2555,419,9992,750
-50,-95,8969,309,9495,-3700
-50,-95,5093,271,3768,1250
-50,-95,518,-91,401,3850
-50,-95,6220,469,5444,3600
-50,-95,5305,46,9120,-3050
-50,-95,785,279,7706,1700
-50,-95,8138,-760,376,-3300
-50,-95,6274,883,6170,2800
-50,-95,8205,-455,2975,350
-50,-95,4767,275,393,-4750
-50,-95,251,-497,8064,-500
-50,-95,8824,626,999,-4850
-50,-95,3527,-797,8130,-400
-50,-95,1783,375,8415,-3400
-50,-95,9241,-142,6379,3800
-50,-95,2994,-668,8855,-3800
-50,-95,1692,-325,3198,1700
-50,-95,4874,-945,4962,4450
-50,-90,6412,840,8776,4950
-50,-90,4444,640,5042,-2950
-50,-90,6539,516,4174,3050
-50,-90,1296,-278,7793,2150
-50,-90,3198,101,5869,-4350
-50,-90,6388,308,5587,3100
-50,-90,5513,485,4262,2650
-50,-90,8952,43,338,2900
-50,-90,7521,743,896,-1750
-50,-90,3785,-324,5724,3800
-50,-90,3860,591,9656,4800
-50,-90,5000,921,9392,2000
-50,-90,8343,491,4342,650
-50,-90,7253,-842,3353,2800
-50,-90,7006,109,8500,-3500
-50,-90,2482,-196,2411,-2800
-50,-90,7345,-806,9325,-5000
-50,-90,7133,-457,9908,-4600
-50,-90,5942,-904,6838,950
-50,-90,4403,-10,4156,3800
-50,-85,9638,-869,2600,-150
-50,-85,9909,-1,3196,-1550
-50,-85,1096,693,8272,2750
-50,-85,6266,-609,1258,4150
-50,-85,5127,311,7941,-650
-50,-85,9306,-603,7380,2250
-50,-85,3817,-685,6963,-5000
-50,-85,3838,929,1209,-850
-50,-85,6676,-592,3405,-50
-50,-85,9567,-908,7136,-3850
-50,-85,7208,-377,9414,-1750
-50,-85,7408,-240,9203,-1450
-50,-85,464,-499,9998,950
-50,-85,8561,439,1765,-2950
-50,-85,2855,680,5156,2950
-50,-85,6002,889,6554,1850
-50,-85,6971,90,5099,4850
-50,-85,263,-813,4723,3350
-50,-85,7112,399,2446,3400
-50,-85,7240,324,5047,-4500
-50,-80,5111,-501,9452,-2350
-50,-80,4888,633,9160,3300
-50,-80,2402,279,8125,750
-50,-80,7466,-769,8573,650
-50,-80,6236,-501,5507,2100
-50,-80,7338,-473,4010,4200
-50,-80,6392,996,340,-2150
-50,-80,5720,561,2045,4650
-50,-80,3479,-221,1603,-3450
-50,-80,3073,-589,1150,-4850
-50,-80,1238,-194,2826,-1600
-50,-80,7696,20,3686,-3650
-50,-80,859,600,6635,2050
-50,-80,9528,-610,3554,2750
-50,-80,5284,-283,2080,-1400
-50,-80,6253,-516,5764,-4450
-50,-80,4814,833,2673,-2250
-50,-80,9202,-412,7778,3900
-50,-80,1108,774,8634,-550
-50,-80,797,683,6129,3300
-50,-75,3780,-540,2947,1300
-50,-75,7072,204,8614,-4050
-50,-75,9973,-953,9266,-50
-50,-75,6394,296,3212,1800
-50,-75,9140,-35,4559,-3300
-50,-75,1739,-282,184,3650
-50,-75,1802,-459,2701,-150
-50,-75,3920,897,3013,-2350
-50,-75,4682,-777,8407,4050
-50,-75,3417,-7,3010,-3550
-50,-75,168,-252,4910,1050
-50,-75,6997,304,1840,-200
-50,-75,6054,-932,9968,-450
-50,-75,6969,3,8804,1700
-50,-75,9945,166,9840,3550
-50,-75,3200,20,5727,-4200
-50,-75,4503,-14,3205,-1650
-50,-75,5794,-264,9801,3550
-50,-75,8729,-788,1519,-3000
-50,-75,4589,248,2151,-1100
-50,-70,2932,932,4602,4750
-50,-70,3007,538,8191,4650
-50,-70,2059,-599,3201,3300
-50,-70,8857,952,8637,-4650
-50,-70,146,-934,7374,-150
-50,-70,4027,-40,5380,1750
-50,-70,4456,64,6635,-1100
-50,-70,8899,-652,3421,-2400
-50,-70,6871,-81,3778,1200
-50,-70,2929,788,3229,-1050
-50,-70,1709,548,775,-1700
-50,-70,9416,-72,1204,4100
-50,-70,9423,240,442,-2950
-50,-70,6355,225,6119,-1250
-50,-70,9470,-807,7463,3450
-50,-70,9039,437,4619,1800
-50,-70,733,-528,5462,1850
-50,-70,387,-21,6525,1200
-50,-70,4974,338,2201,-1550
-50,-70,7840,17,6564,-4550
-50,-65,4346,-965,9165,-4600
-50,-65,1007,490,1217,-3750
-50,-65,5106,615,1141,4000
-50,-65,3145,62,6698,-300
-50,-65,5914,-67,4362,-2000
-50,-65,8062,43,8654,-3300
-50,-65,7097,-565,542,1650
-50,-65,5645,-838,5434,-3850
-50,-65,1614,415,8118,950
-50,-65,4941,600,4742,3900
-50,-65,7364,-146,9365,-2550
-50,-65,7633,389,4439,3950
-50,-65,6786,114,9338,1500
-50,-65,7867,166,3913,-3100
-50,-65,6597,392,3493,1200
-50,-65,1197,-817,1652,3950
-50,-65,2189,-95,3362,650
-50,-65,8401,297,7609,650
-50,-65,1039,-887,4811,4950
-50,-65,6674,349,3077,-2850
-50,-60,5897,-381,2915,2450
-50,-60,2692,69,9434,-2800
-50,-60,3614,757,6303,3200
-50,-60,6610,355,6348,-1450
-50,-60,7023,838,9308,3000
-50,-60,3719,489,1092,100
-50,-60,501,-80,413,-1000
-50,-60,8244,-604,7537,-1300
-50,-60,8800,866,9301,-700
-50,-60,9402,594,5702,-4650
-50,-60,4807,-656,6349,-1800
-50,-60,1061,-133,4090,500
-50,-60,3155,529,8390,-900
-50,-60,8425,690,7400,100
-50,-60,8669,73,9465,-3400
-50,-60,5228,945,6908,2900
-50,-60,1148,-659,3520,-4400
-50,-60,4973,782,5048,1400
-50,-60,6252,-970,7187,-4250
-50,-60,8179,-528,1769,-300
-50,-55,1997,368,3181,1400
-50,-55,3364,-291,9978,-5000
-50,-55,2191,-76,9468,4400
-50,-55,8345,912,9766,3800
-50,-55,1966,789,3556,-650
-50,-55,6022,-41,769,1900
-50,-55,8102,570,6957,2550
-50,-55,3433,-930,5158,2400
-50,-55,3922,-291,8815,-4300
-50,-55,8961,104,8131,2450
-50,-55,5685,83,2520,750
-50,-55,4581,467,5682,-4750
-50,-55,4590,-257,1562,-2250
-50,-55,4296,-921,9890,-4500
-50,-55,729,-160,2288,-150
-50,-55,2025,-423,1060,1600
-50,-55,2951,-660,4667,-4050
-50,-55,3656,331,9998,4300
-50,-55,7492,-853,4508,-4150
-50,-55,7817,-762,2457,-1150
-50,-50,5331,-257,1267,1350
-50,-50,25,494,7324,500
-50,-50,1873,968,2250,-4850
-50,-50,207,285,3488,-3650
-50,-50,8989,-271,9985,-1250
-50,-50,5392,-165,8063,-1300
-50,-50,5899,312,2751,-3200
-50,-50,269,-517,246,4350
-50,-50,7388,781,6028,-3250
-50,-50,6742,161,6273,4400
-50,-50,4795,-373,1611,4200
-50,-50,4164,-245,7289,-750
-50,-50,7907,-389,2461,650
-50,-50,612,859,6095,4750
-50,-50,8259,-81,8889,-4650
-50,-50,7126,329,7121,4900
-50,-50,3001,-811,1588,-3300
-50,-50,1138,866,4215,2250
-50,-50,9730,819,1574,1750
-50,-50,7153,-747,4971,-2900
-50,-45,1871,221,5057,4300
-50,-45,5705,-737,4694,4750
-50,-45,5081,-553,8011,4050
-50,-45,9946,100,3432,-200
-50,-45,3562,-902,2569,750
-50,-45,4403,522,5179,-350
-50,-45,5156,-476,3082,50
-50,-45,758,502,9786,1650
-50,-45,8889,375,6869,-1050
-50,-45,5198,-254,2887,-550
-50,-45,2680,292,9702,-1350
-50,-45,5101,-736,2110,-4050
-50,-45,3241,-608,9030,1250
-50,-45,5618,133,6251,1850
-50,-45,217,-307,6440,2300
-50,-45,8620,-338,4963,1200
-50,-45,27,358,4898,250
-50,-45,259,-813,1075,-3950
-50,-45,2345,-794,235,-350
-50,-45,1438,-592,7975,500
-50,-40,7791,-178,600,-2950
-50,-40,7558,-344,1883,1350
-50,-40,4475,390,9868,-1000
-50,-40,1704,545,5995,4400
-50,-40,601,-641,7703,4000
-50,-40,674,776,9118,-5000
-50,-40,6080,661,3293,-1850
-50,-40,8424,-756,3803,3100
-50,-40,423,-278,9757,-1600
-50,-40,8974,142,3162,-3650
-50,-40,9356,-324,1039,4900
-50,-40,2586,-301,5353,150
-50,-40,3762,284,8729,-1850
-50,-40,5220,-242,814,-200
-50,-40,463,-867,8977,-1250
-50,-40,7425,504,5174,-1350
-50,-40,7632,-83,1793,-300
-50,-40,9522,428,4006,2600
-50,-40,2417,703,6137,1600
-50,-40,5649,-445,8987,-4150
-50,-35,7836,-289,2971,-3450
-50,-35,5330,782,714,500
-50,-35,6159,-315,3973,3250
-50,-35,1113,-64,6050,2650
-50,-35,4971,708,1107,3300
-50,-35,9194,-245,6289,-2350
-50,-35,7258,435,814,-550
-50,-35,9281,-620,2701,-1700
-50,-35,2241,-316,3265,-5000
-50,-35,9929,-709,4300,600
-50,-35,3352,-746,6921,-4200
-50,-35,5600,-931,3202,1650
-50,-35,4909,-540,6677,-3050
-50,-35,2976,-415,3716,-2950
-50,-35,3028,-11,8991,2850
-50,-35,7079,-946,1559,4750
-50,-35,9644,-886,9126,-650
-50,-35,6265,-200,4081,400
-50,-35,9661,-560,7202,-2100
-50,-35,3750,-296,9248,-3300
-50,-30,7129,335,4498,-3000
-50,-30,6825,362,8293,1600
-50,-30,9084,327,6296,2300
-50,-30,9139,203,4764,150
-50,-30,7444,610,7432,4800
-50,-30,3455,-961,8870,1550
-50,-30,253,-887,7517,-4450
-50,-30,3405,650,7129,-300
-50,-30,3817,-251,3590,2950
-50,-30,8450,-532,9264,550
-50,-30,4797,48,9666,2600
-50,-30,1297,-266,4233,-4650
-50,-30,2004,302,6503,-2300
-50,-30,7725,-657,3079,-5000
-50,-30,9577,-488,4503,3850
-50,-30,4895,-973,5971,4800
-50,-30,9448,-168,5909,550
-50,-30,8533,-80,8460,1650
-50,-30,3536,-644,8269,1350
-50,-30,7670,883,6940,-250
-50,-25,5428,85,9722,250
-50,-25,1798,-170,9309,-3050
-50,-25,7914,138,8283,1050
-50,-25,5999,880,6530,1500
-50,-25,4076,-863,9681,650
-50,-25,8798,146,2047,-1100
-50,-25,183,125,2235,4700
-50,-25,2143,-561,9322,2850
-50,-25,448,-709,1348,1450
-50,-25,5857,-7,7711,-3700
-50,-25,4139,557,3618,4750
-50,-25,148,-853,2998,-2350
-50,-25,1258,173,1489,-3350
-50,-25,9421,-883,2963,-2400
-50,-25,9706,-2,8197,4800
-50,-25,2198,650,9654,950
-50,-25,4942,315,9565,-2950
-50,-25,6232,-571,489,3700
-50,-25,3421,-338,9253,2050
-50,-25,6646,711,6202,-4400
-50,-20,6345,271,1054,-800
-50,-20,3342,85,4427,1700
-50,-20,6443,-843,6890,4350
-50,-20,6221,-208,4023,-4650
-50,-20,2367,-506,1784,-600
-50,-20,3610,850,4605,-4400
-50,-20,985,943,5867,3750
-50,-20,4175,-796,4350,-200
-50,-20,2825,-99,38,550
-50,-20,6479,793,4331,-4250
-50,-20,3103,-795,6500,4150
-50,-20,4091,-24,904,4500
-50,-20,3564,152,1488,-2100
-50,-20,6913,-507,7959,-900
-50,-20,836,470,4922,3050
-50,-20,3058,108,2041,4500
-50,-20,6155,-769,5987,-950
-50,-20,3956,-952,6825,-400
-50,-20,2496,517,5209,4800
-50,-20,8666,399,2317,-2650
-50,-15,8968,439,2791,-1150
-50,-15,9052,-883,4747,-4850
-50,-15,3749,731,5418,-4850
-50,-15,3798,-352,8603,4400
-50,-15,5,774,6154,-5000
-50,-15,7994,285,9084,3000
-50,-15,415,472,8940,4500
-50,-15,9585,579,6423,4350
-50,-15,4559,453,2097,-3300
-50,-15,7920,-55,4902,-850
-50,-15,4494,-95,2850,-2000
-50,-15,5650,89,66,-1900
-50,-15,3414,-790,7481,3800
-50,-15,2833,-152,16,-3250
-50,-15,8519,93,5074,1150
-50,-15,5002,-991,5805,2300
-50,-15,600,-357,8637,-2850
-50,-15,1521,-194,2513,2250
-50,-15,4965,-729,5717,1250
-50,-15,2234,376,303,-4050
-50,-10,450,834,4309,1050
-50,-10,5648,-538,6850,3450
-50,-10,9370,794,7891,-1600
-50,-10,2957,-637,3759,-4750
-50,-10,8298,311,7754,3450
-50,-10,3038,229,9993,3300
-50,-10,208,-692,8971,-3450
-50,-10,5238,-609,8289,3750
-50,-10,3381,-571,8971,-850
-50,-10,733,720,9964,-4950
-50,-10,9581,999,5278,4150
-50,-10,2565,92,673,250
-50,-10,9116,328,354,-4850
-50,-10,3043,-567,5117,-150
-50,-10,6097,-308,1043,3900
-50,-10,1324,765,1638,-550
-50,-10,1094,-707,7882,-3900
-50,-10,7656,-784,4260,-2550
-50,-10,4915,213,7378,1900
-50,-10,6430,425,6200,-1450
-50,-5,1474,810,5540,1200
-50,-5,7484,66,9595,-2350
-50,-5,1497,671,5994,-1050
-50,-5,1674,-532,1775,4000
-50,-5,7524,536,3507,-1400
-50,-5,2674,710,1731,600
-50,-5,8707,-957,6144,4600
-50,-5,4648,-370,9885,-4400
-50,-5,8211,-948,8341,4800
-50,-5,6977,-39,5077,-3750
-50,-5,5460,444,4365,-3800
-50,-5,823,172,965,-3950
-50,-5,1742,-292,8065,750
-50,-5,8382,-723,8437,4950
-50,-5,6645,-568,3425,3050
-50,-5,3094,186,6334,-2800
-50,-5,9279,-628,3588,2100
-50,-5,676,-756,6111,1400
-50,-5,8804,-370,2769,-3900
-50,-5,8251,329,4102,3800
-50,0,5683,676,7662,-1550
-50,0,7846,-806,5070,-4150
-50,0,5286,-520,2918,2600
-50,0,3522,963,503,-50
-50,0,8434,537,9970,-1800
-50,0,6731,-598,4560,1950
-50,0,8268,-183,4594,4050
-50,0,2809,-283,2219,-1400
-50,0,8718,925,4695,2800
-50,0,823,165,8547,-4150
-50,0,9215,27,9571,250
-50,0,4870,-625,4304,450
-50,0,4948,-438,1849,-4700
-50,0,2523,304,2940,-2100
-50,0,8257,-200,5962,-800
-50,0,2969,808,507,-3000
-50,0,8756,-712,9456,2800
-50,0,2124,633,1351,-2400
-50,0,8013,-739,5220,-1300
-50,0,6595,-938,769,-4000
-50,5,2751,632,8887,-4000
-50,5,5286,928,3598,-500
-50,5,9562,-123,4764,-4150
-50,5,3295,815,8682,-3450
-50,5,41,-46,6688,2100
-50,5,8067,-263,1642,600
-50,5,6736,-692,9270,2500
-50,5,9082,-770,1163,4750
-50,5,1550,-993,1392,2500
-50,5,2923,22,5340,-2050
-50,5,7308,-161,5875,-1900
-50,5,9459,-715,9920,-2050
-50,5,4718,798,6203,-100
-50,5,6776,-647,9862,-1650
-50,5,1407,-202,9945,3900
-50,5,7450,343,8954,-1100
-50,5,5646,-87,1443,-1450
-50,5,9654,946,9686,-3400
-50,5,9878,129,6694,-950
-50,5,3179,89,9328,-3850
-50,10,603,-140,9726,-2300
-50,10,3216,163,9023,3650
-50,10,2382,-253,6228,-3200
-50,10,3465,125,1862,-4350
-50,10,4244,-890,4803,-3800
-50,10,6332,-944,2622,-4950
-50,10,954,-19,2918,200
-50,10,5545,-324,4630,-3400
-50,10,3582,-430,5125,3650
-50,10,4312,-448,5115,4550
-50,10,7763,-529,3970,-2000
-50,10,611,372,1908,-950
-50,10,8491,-713,8727,3350
-50,10,5547,-53,5106,-3300
-50,10,1653,-641,9431,3400
-50,10,7797,-321,8894,-3750
-50,10,7640,-424,6824,700
-50,10,9560,-870,2961,2200
-50,10,7912,-918,8115,-3850
-50,10,454,-666,6302,-4600
-50,15,8449,864,3656,500
-50,15,691,779,9313,-4300
-50,15,5248,223,775,-100
-50,15,4598,-862,892,2450
-50,15,6470,723,3911,4950
-50,15,306,362,2600,-1300
-50,15,5424,-847,754,-4900
-50,15,4596,-881,9293,1650
-50,15,1776,286,4296,2600
-50,15,6542,-406,2744,3350
-50,15,965,293,2107,1600
-50,15,5144,777,2196,1100
-50,15,2122,-321,8484,-4300
-50,15,2270,-364,4779,1850
-50,15,2170,-474,2248,-4700
-50,15,9365,-699,7351,650
-50,15,7489,-24,2866,-1950
-50,15,4907,-252,586,-100
-50,15,6573,585,5397,-2850
-50,15,8895,665,7484,-250
-50,20,9311,446,417,-2400
-50,20,4324,761,1215,3850
-50,20,4443,-69,6344,2050
-50,20,8006,39,2219,-3200
-50,20,7543,713,2563,-1950
-50,20,4853,-13,610,3550
-50,20,5014,-611,8996,-1800
-50,20,2017,-71,3920,3150
-50,20,1931,-318,7447,-400
-50,20,1442,-658,1576,3950
-50,20,1860,439,7661,4150
-50,20,3233,154,9519,-750
-50,20,8644,-576,2660,1350
-50,20,1416,-198,592,3900
-50,20,6766,-937,469,-4900
-50,20,8089,-319,6252,4550
-50,20,6099,-462,8497,-1250
-50,20,4631,-787,2815,-2100
-50,20,7054,-364,3660,-300
-50,20,9742,313,5919,-1450
-50,25,9726,603,4926,-1550
-50,25,9198,-604,7108,3900
-50,25,871,-588,3490,-1250
-50,25,8418,323,3862,-2150
-50,25,6411,403,2619,-2900
-50,25,3466,-940,2534,-3100
-50,25,3373,-581,1829,-4300
-50,25,5653,-757,8039,-1800
-50,25,5912,911,4062,3200
-50,25,4396,-74,4681,2000
-50,25,1006,-431,493,2900
-50,25,6603,-405,4258,4800
-50,25,6607,-986,494,-1350
-50,25,54,518,8881,1100
-50,25,5523,220,8209,-1350
-50,25,5739,-725,1225,550
-50,25,7041,-648,1717,-3650
-50,25,7298,451,7326,150
-50,25,3245,175,5123,-750
-50,25,460,849,7418,-3200
-50,30,2255,-197,2729,4000
-50,30,2818,-793,3423,3650
-50,30,1859,953,559,500
-50,30,9468,732,7884,-2950
-50,30,3345,89,587,400
-50,30,3491,-113,4917,-2600
-50,30,371,649,1742,-4500
-50,30,2359,590,3221,950
-50,30,3060,-208,4246,-1650
-50,30,7744,-361,2616,4900
-50,30,234,942,1851,-200
-50,30,3779,-810,7342,4050
-50,30,5458,241,7398,150
-50,30,2931,245,435,3000
-50,30,2956,-139,8385,-750
-50,30,4617,-124,1640,250
-50,30,5251,-137,4023,3750
-50,30,4406,-317,563,2300
-50,30,3598,246,1367,-4050
-50,30,8191,266,2924,1900
-50,35,4094,-73,4799,-4350
-50,35,225,-222,3162,300
-50,35,2336,-969,9463,4750
-50,35,1247,300,9176,2350
-50,35,7260,-867,2308,3700
-50,35,4765,-343,2156,-4450
-50,35,3832,220,51,-2200
-50,35,4211,-225,4841,4100
-50,35,970,-448,2142,-450
-50,35,9300,480,9853,4950
-50,35,7026,729,1728,3950
-50,35,5895,738,3246,-2000
-50,35,6972,278,2705,3900
-50,35,9754,-508,5257,350
-50,35,2840,382,1609,4650
-50,35,6582,-658,2004,4950
-50,35,9154,-786,3139,1200
-50,35,9549,682,7179,850
-50,35,3625,990,6606,3550
-50,35,660,-23,1300,2600
-50,40,3961,-849,2719,3150
-50,40,3084,-878,7202,-850
-50,40,173,766,3936,-1600
-50,40,7161,-829,6253,2950
-50,40,5715,996,3047,-2550
-50,40,9114,-816,1745,1900
-50,40,6600,796,1038,0
-50,40,8750,322,2007,1100
-50,40,4662,96,4098,-4400
-50,40,8410,-737,1720,-5000
-50,40,1884,962,4114,-4600
-50,40,9998,-952,6913,-2900
-50,40,9222,162,4314,3450
-50,40,3067,-427,1994,-2600
-50,40,1835,425,5072,-5000
-50,40,5987,-759,618,-700
-50,40,4672,-766,8691,1550
-50,40,856,237,8602,-2400
-50,40,7875,28,8531,-4050
-50,40,6815,-645,8317,250
-50,45,3861,-680,1829,-3050
-50,45,4146,189,4544,-450
-50,45,4449,885,2068,4500
-50,45,3760,-433,1609,-1350
-50,45,7797,-949,3100,-3250
-50,45,8626,-388,1126,2750
-50,45,8169,-876,672,-3850
-50,45,1225,457,1879,300
-50,45,7026,-515,109,-2450
-50,45,9081,-357,9796,3450
-50,45,4940,370,7099,-2800
-50,45,5991,-473,741,4300
-50,45,4064,-356,7248,2650
-50,45,3434,968,3183,-3750
-50,45,2725,-428,5763,650
-50,45,2716,603,3098,3500
-50,45,5895,-768,1273,-3350
-50,45,1475,-583,7128,1950
-50,45,1392,87,9120,4700
-50,45,7041,352,4849,-3900
-50,50,3501,-515,7416,1200
-50,50,4656,935,9282,-4500
-50,50,6592,309,3758,-250
-50,50,7550,-897,8850,2050
-50,50,4362,-480,6593,2750
-50,50,4145,-214,460,2150
-50,50,5459,-643,57,-2400
-50,50,6991,-618,8150,3900
-50,50,2051,442,1033,50
-50,50,7965,-424,1391,4200
-50,50,3653,747,137,3950
-50,50,6324,199,261,1200
-50,50,1817,981,45,1350
-50,50,1800,783,6305,600
-50,50,4175,178,3387,-4950
-50,50,3044,-249,628,-4950
-50,50,5840,478,684,3250
-50,50,6395,-160,809,3500
-50,50,8234,-654,2952,-4000
-50,50,6724,350,4815,-2800
-45,-100,7673,466,3510,4600
-45,-100,6802,-108,7409,-2000
-45,-100,4033,398,2492,4500
-45,-100,6734,-696,8629,3250
-45,-100,5604,-402,7912,4300
-45,-100,591,77,9887,1800
-45,-100,5016,766,2790,-4450
-45,-100,612,380,4896,-4550
-45,-100,3012,-411,5187,4600
-45,-100,1560,264,2081,850
-45,-100,8175,-658,9717,3650
-45,-100,6038,624,2837,-2150
-45,-100,2548,-423,2604,-4250
-45,-100,104,-933,1263,4850
-45,-100,1071,729,8694,-300
-45,-100,397,-110,7904,3550
-45,-100,1740,712,3688,4000
-45,-100,1222,-335,4701,1450
-45,-100,3395,-744,3701,-3600
-45,-100,6094,740,9096,1500
-45,-95,3498,448,5624,3900
-45,-95,10,-577,6912,-3100
-45,-95,1611,-350,3359,3350
-45,-95,7553,-251,9324,3100
-45,-95,679,395,8050,-5000
-45,-95,1592,-498,5841,4000
-45,-95,9421,405,953,-2850
-45,-95,1772,477,9193,-4750
-45,-95,6153,434,7568,4050
-45,-95,2357,750,4142,-1100
-45,-95,141,453,3764,-1650
-45,-95,7175,-399,2678,4650
-45,-95,14,-264,2034,4950
-45,-95,3664,736,3247,-4300
-45,-95,8748,-309,1319,-450
-45,-95,3970,193,8297,3000
-45,-95,3724,-612,6512,3900
-45,-95,6916,796,8195,-3400
-45,-95,908,830,6090,-2950
-45,-95,6286,413,538,-4850
-45,-90,1899,-981,217,-1500
-45,-90,6049,754,7326,4450
-45,-90,3410,648,4368,350
-45,-90,5563,396,7991,-5000
-45,-90,8520,477,8044,1950
-45,-90,1786,-968,5959,2850
-45,-90,4126,859,4651,2300
-45,-90,8516,-377,8457,3700
-45,-90,753,-116,4814,-400
-45,-90,1395,-522,4997,-1650
-45,-90,1770,-41,5076,500
-45,-90,890,0,966,1200
-45,-90,4002,-633,6341,-850
-45,-90,4774,-691,6168,-4500
-45,-90,1611,-939,758,-3400
-45,-90,394,687,6757,400
-45,-90,5534,-457,1303,2750
-45,-90,1990,-713,774,200
-45,-90,1548,-692,1513,2100
-45,-90,2483,519,3818,-1850
-45,-85,2759,-816,5496,-2700
-45,-85,8079,-115,3387,3900
-45,-85,7669,-359,5816,-1450
-45,-85,4990,15,4037,-1550
-45,-85,2502,680,5132,-4750
-45,-85,7219,-152,6278,4600
-45,-85,14,-723,1282,-2650
-45,-85,3276,-198,1981,-2250
-45,-85,7591,-326,6109,3750
-45,-85,6445,791,5845,-650
-45,-85,8001,652,6116,-1500
-45,-85,4118,804,442,4900
-45,-85,6318,830,5866,-1750
-45,-85,1090,-627,3677,1850
-45,-85,7544,-178,7761,250
-45,-85,3784,648,3094,-4300
-45,-85,8678,599,2452,550
-45,-85,8412,-994,1775,-900
-45,-85,4679,562,655,-2950
-45,-85,9641,918,9459,1500
-45,-80,1900,-289,3398,3750
-45,-80,1628,799,5894,-1150
-45,-80,8653,-281,5237,-3250
-45,-80,8200,972,9719,1900
-45,-80,2529,-943,2951,400
-45,-80,2304,-120,4154,1350
-45,-80,3330,32,3511,-3050
-45,-80,4443,-409,7742,3550
-45,-80,5830,714,4009,-1600
-45,-80,4703,-558,1938,-500
-45,-80,7854,-555,2465,-5000
-45,-80,6126,-435,8945,2350
-45,-80,2530,851,4843,4900
-45,-80,838,-356,919,-3700
-45,-80,9204,-701,2751,2850
-45,-80,4953,451,3451,-1450
-45,-80,8780,-509,2037,-4100
-45,-80,8981,29,3927,1250
-45,-80,3700,-635,2323,4450
-45,-80,7714,772,7834,-2200
-45,-75,4798,97,1881,-5000
-45,-75,705,542,1366,400
