snr,wifi_db,exp_phase_shift,exp_doppler_shift,found_phase_shift,found_doppler_shift
-50,-100,7011,-815,3490,-2300
-50,-100,6259,-179,2206,1600
-50,-100,3765,536,123,3050
-50,-100,4175,-770,4987,-1200
-50,-100,5009,-353,5495,4750
-50,-100,2108,283,8067,1900
-50,-100,8438,-411,9299,-2200
-50,-100,309,-644,4866,-1500
-50,-100,6069,62,8533,-1900
-50,-100,686,348,2558,-3200
-50,-100,6415,-440,1947,-3650
-50,-100,4024,-983,3358,450
-50,-100,9527,276,1133,-1900
-50,-100,2592,838,7823,-2400
-50,-100,4781,-831,1399,-2000
-50,-100,2186,423,7055,-2300
-50,-100,3842,924,3035,-3550
-50,-100,2172,-169,7354,4550
-50,-100,3099,863,1854,3800
-50,-100,2252,137,3765,1050
-50,-100,7049,354,3187,3100
